server: http://10.3.64.49:24870
"Language","Tag","Type","SHA1"
"deu-DEU","currency20","QuickDialog","7b19407b591ffb89432f811d0c36bed52b0a2594"
"spa-ESP","chatbot","QuickDialog","0b552f54bfedadc2d307bdf2d2313897fd9eddf4"
"deu-DEU","sonicdaimler","QuickNLU","4ea9c100761b590c0a6ad3fdaf0e8b4d5b5a60c1"
"fra-CAN","selfnlps","QuickNLU","89461f077bbdc0b3d4296bb25a2f35defb03dd78"
"swe-SWE","selfntg6","QuickNLU","cc0733ef79af21c6994b2d3cd6f26e6d4139342d"
"sic-CHN","selfntg6","QuickNLU","586527ae9a5641b54b0158e305ad464dd4dc8c15"
"sic-CHN","selfntg6x2","QuickNLU","4f471bc6731ccfb8f54418b4042e5109ccd3ee6a"
"eng-GBR","horoscope","QuickDialog","9d8075cc54174609218d7d32f7b7981d5af84545"
"deu-DEU","geoquiz","QuickDialog","3fe7af5ef8458478c250a441bcb596fa78d6ef09"
"eng-USA","stocks20","QuickDialog","3314504dad1ed060d4454d54a34ed17360556810"
"kor-KOR","sonicdaimler","QuickNLU","c4b7f51f9c35f84611512247530e5d7dbf103ce1"
"yue-CHS","selfnlps","QuickNLU","a3150071c4c69c6794648824af85733cafdf79ec"
"deu-DEU","gkqa","QuickDialog","6c769c673cdbf22e649d7f5a3f08997485ebf6e6"
"fra-CAN","sonicdmlr2","QuickNLU","5ef4320d74f13ce0f6e3c64f7f4add6885819194"
"yue-CHN","chatbot","QuickDialog","6b328264d9bdf0a25a168ce44029a9ca522f31fc"
"eng-GBR","chatbot20","QuickDialog","a0e7450d988585cb40e52498182106769aeb35ad"
"spa-XLA","ico","QuickDialog","2fc8c3b0f57970bca89ccf0b7371c59252eef551"
"tur-TUR","selfnlps","QuickNLU","0022d5906dba40a03d098a229a5e43f78300e9f7"
"ces-CZE","chatbot20","QuickDialog","0f02da823ca7fddc872cd416011e14e602de3599"
"eng-USA","soccer","QuickDialog","41b39ecac1fcd941402363cb830625a013eb7340"
"fra-CAN","chatbot20","QuickDialog","94a391d63ffc5d5ec7908523509b483c6c91a105"
"fra-FRA","selfntg6","QuickNLU","84b8a98ea3bc079b74ee5666927e4d6fbfd1339b"
"fra-FRA","selfntg6x2","QuickNLU","f2c674f95e20dec41a1fbb5f471517f4b4bb00b5"
"eng-USA","datetime20","QuickDialog","4259e8f879f92bc22c6e559fccabcd93aa20e389"
"nld-NLD","selfntg6x2","QuickNLU","f36a51782972de9c6f1543bb79770a2b5d380e7c"
"deu-DEU","currency","QuickDialog","6fe92a6a4333ffaef4c6b6ede9b46db2957a4acb"
"eng-GBR","sonicdmlr2","QuickNLU","57bc33e218b9dec925c46d2c3545793a69afb22a"
"swe-SWE","sonicdaimler","QuickNLU","f561b75af920e5d0c415fcc32dc7492213409359"
"sic-CHN","selfnlps","QuickNLU","9ec7646b9afa1c308a0285c34b1b5ddf2e6ee3c4"
"yue-CHS","sonicdaimler","QuickNLU","b7d96630c8776d1de27e9d33427f9e0831e9aa5f"
"cmn-CHN","lunarcalendar","QuickDialog","6832e1444a71c8929b130ff3949f3f7e61780488"
"swe-SWE","chatbot20","QuickDialog","b555b3e4cfaa0d0b892e3aeff410fe22913cd9bc"
"pol-POL","selfntg6x2","QuickNLU","b11c69cc1d8934060bdc9a8042729e32a9c15817"
"fra-CAN","selfntg6","QuickNLU","89461f077bbdc0b3d4296bb25a2f35defb03dd78"
"sic-CHN","sonicdmlr2","QuickNLU","e319829187af2f6f68f885d86e2df5d315ae8bc8"
"cmn-CHN","unitconverter20","QuickDialog","781a333e02f721963fed062ccbd3b0884be12652"
"tur-TUR","chatbot20","QuickDialog","d81f933564a5cefa434aa4dd9805133f7d567c3f"
"ces-CZE","selfnlps","QuickNLU","8dae8a300b78ecc3572c0744ae9a6cbb7a321821"
"cmn-CHN","ico","QuickDialog","9cf5138756277ecb055d6c1cdf808b16440e896f"
"yue-CHS","selfntg6","QuickNLU","a3150071c4c69c6794648824af85733cafdf79ec"
"ita-ITA","ico","QuickDialog","897fc3d4217072b829f06952e579be05b319590e"
"kor-KOR","chatbot20","QuickDialog","851b43930d365ea7d5cc0e59239b748dd85a607d"
"yue-CHS","chatbot","QuickDialog","8b8f438d844c044f3c72e8ce041ab425580ca5e8"
"por-PRT","chatbot20","QuickDialog","c2ac3cba847a394629e0e5924797e46b81f7ea6b"
"deu-DEU","datetime20","QuickDialog","a495939b3dfaf4aefd433e151647b927be5a37b6"
"cmn-CHN","publicholidays","QuickDialog","6778cfc1a32964ef2bbe387824f34ec214d24b89"
